RUN,VRAMmin,VRAMmean,VRAMmax,GPUCLK,GPUPWR,GPUTEMP,GPUFAN,FPSAVG,FTIME,FDIFF
None00,3.2,3.285,3.3,1492.039,194.161,81.567,3027.983,288.888,3.43,0.002
SSAA2x,3.4,3.485,3.5,1302.597,199.799,82.501,3033.854,133.208,7.508,0.005
SSAA4x,3.9,3.921,4,1259.342,202,82.837,3037.55,79.011,12.656,0.007
FXAALw,3.3,3.385,3.4,1484.286,199.348,82.243,3028.266,284.536,3.509,0.003
FXAAMd,3.3,3.384,3.4,1482.588,199.37,81.884,3029.608,287.228,3.47,0.004
FXAAHi,3.3,3.385,3.4,1461.214,194.567,82.009,3032.524,275.744,3.654,0.004
FXAAUl,3.5,3.585,3.6,1466.181,199.521,82.224,3029.531,282.836,3.544,0.004
MSAA2x,3.4,3.49,3.5,1459.175,194.569,83.059,3035.896,236.932,4.263,0.004
MSAA4x,3.5,3.59,3.6,1452.743,196.148,83.065,3035.203,237.116,4.282,0.005
MSAA8x,3.7,3.725,3.8,1466.462,193.95,83.448,3037.989,231.83,4.346,0.004
